text,label
"Ah, so I have been told ;)",1
just honest,0
i'm trying to get into med school,0
The rhythm of your heart is music to my ears.,1
"hi, not bad, how about yours?",0
I’ll put you on my shoulders and be your stilts 👀,1
It’s laundry day for me tho lol,1
🍫🍫🍫,1
hey that's a cool doge 🐶,1
"nup, it's wordplay",0
Halle how is your life going rn -10 to 10 hit me w it,1
"Save a horse, ride a cowboy (me)",1
Cartoon Network? How so? Lol!,1
wax?,0
Ah my ideal first date would go something likeee,1
oh wow nice,0
path major,0
And feather-lick my asshole. I love that.,1
Ugh such a tease,1
Like a 3.50 bag of chips at easy side is 1.19 at Aldi,0
It’s going well how are you Shelby* (noticed it wasn’t Erin lol),0
Perfect imma have the best wedding dance,1
You caught my attention,1
where are you studying that?,0
do you feel like getting dinner tonight,1
Also I just saw your 5th photo for the first time and it made me laugh really hard,0
 I'm cumming!,1
well it was only wednesday night,0
Me: Don’t worry you’ll like it,1
 your passion for life is so infectious its so inspiring ,1
"Now, I need you to take your right hand and start playing with yourself.",1
I feel that I was making some cool shit at the beginning of the year,0
God is always watching,1
"I wish you were here to help me clean up, or distract me with a sweet kiss.",1
I want to make you scream while I suck on your breasts,1
"yeah, at melbourne",0
"I would not be able to keep my hands off your legs (More sensual here. Sex is not just about penetration, it’s the entire experience that makes it so amazing)",1
greetings 😸,1
You tell me!,1
🍦🍦🍦,1
Okay Frank is my #1 haha everything is the best,0
Ok,1
See I figure when you give me a piggy back ride we’ll be roughly 7’ tall,0
As a beverage isnt coffee inherently inedible,0
Maybe a little longer,1
What does your neck taste like?,1
"haha, it's been good, heading to royal croquet later",0
well he took a bad selfie that didn't get his ears in the shot...,0
😴 Was the last time with Shaosong,1
Shut up I’m tickling my ass with the fat head. heheh,1
"no, my mom is not a fan of the soviets, i'd love to go but $$$",0
Good conversation,0
"""violent masturbator"" is probably not going to convince anyone to swipe right",0
Well*,1
Haha just wait until I have you bent over and I reach around to rub your clit,1
Wrist bond to the couch as I'm bent over the arm. Ass up for you.,1
No one has attempted to steal my spaghetti for fear of instant and fatal retribution,0
and slowly close in on your sexy clit,1
i don't think they allow that...are you going thru the black market? i hear hearts in demand,0
"Hmm I'm not sure, I guess you'll have to tell me",1
welcome to NY,0
Not too bad. Whats your secret to staying above 0 in these trying times,0
Add me bb,0
all that sugar and taurine,0
"Lick your finger, how is it?",1
are you interested in going out sometime,1
"Are you named after the water bottle brand, or is it named after you???",0
lazaretto is a masterpiece,1
i'm 3rd year this year and sitting the gamsat again,0
Aw thank you ❤️❤️ I love your wings,1
Yeah school doesnt matter so much for me I gotta get a job though and I'm pretty bad at it,0
Perfect I can reach the high shelves and you can get the low ones,1
is that the lane off degraves?,0
If you ride my shoulders we can beat 7’ 😂,1
haha yep it's pretty good normally,0
I'd much rather spend my time getting dirty with you.,1
"yeah it was alright, had some strange conversations with these guys outside the window...",0
I want to kiss you first and feel your tounge on mine.,1
OMG I can’t believe I’m doing this. It’s HUGE!,1
Wanna come over tonight?,1
I am serious about the fucking.,1
dude you have a picture of your face plastered on a cat's,0
 I wish I could dance with you at the concert and feel the music together    ,1
hiking? as in going off into the bush and wandering about,0
"I will figure out what makes you tick, don't worry.",1
what kind of dog?,0
Peach is 🔥 also u reminded me I was going to plan Soju pong,0
You like em?,1
It's a beautiful sight..,1
How will you know?,1
Brienna you made my heart skip a beat so u better pay my medical bills,1
Like damn u gifted,1
if you're in pain,0
📰<💻,0
your empathy is a rare gift its so comforting ,1
I’m marketing and information systems haha trying to balance a more social major with a more technical one. We’ll see what comes of it haha,0
trollzz,0
I have been told I would line parks and rec but am scared that the same thing is going to happen to me,0
You are funny. Keep going.,1
"Then come over and fuck me right now ""daddy""",1
 your charisma is intoxicating im under your spell ,1
We were right everytime 😤,0
Wbu?,0
"awwww, puppy raiser!",0
"I push your tender meat out of my mouth, and lay down...",1
I'd love to hold hands and stroll through the park with you.,1
🎸🎤,1
Need to see if ur on aux 👀,0
What do I have to put on my application for trivia partner,1
oh wow,0
I would love to have dinner with you tonight and explore some new and exciting flavors together.,1
highly philosophical question - miley or taylor swift,1
Or I could just be wearing a pearl thong and princess plug.,1
Oh You have no idea ;),1
best song on 1989?,0
Fuck yeah US of A baby. More prisoners than China,0
i am! i've made it a NY resolution to go on it more often,0
Mmmm.... I feel all flush and tingly,1
Also fuck yes Bernie and ACAB ofc,0
"Your starting to buck up off the bed, Your Pussy is on fire so I gave to go down on you baby..",1
I didn’t hear a noooo,1
Oh really? Tell me more…,1
Fuck you know what I mightttt be able to squeeze in 2032,0
are you into any other music? 🎵,1
ah nice,0
I know ;) Then I start feeling you up..,1
i'm just playing haha,1
Sounds like a golden retriever,0
My dad made my mom canned soup on their first date,0
omg yes they lay eggs,1
I have a feeling there are other things we have in common too,1
No,1
Send me a pic tho.. Show me whacha workin with,1
Anaaaaa what’s good,0
All slippery with lube. Been so long. Pucker! Whoo!,1
What do boston people do this time of year I didnt grow up here,0
Are you at work,1
Well babe I'm here and ready and willing for you to have your way with me,1
I'm hoping you can teach me some moves and sweep me off my feet.,1
 your imagination knows no bounds its absolutely captivating ,1
Chivalry is not dead no matter what anyone says,0
Do you like eye contact when I'm sucking you off?,1
I'm going to tease you by fucking you with just the tip so you are begging me to go deeper and when you think you cant take it anymore ill grab your hair and pound you from behind and spank your ass because your such a dirty girl.,1
the theme song for VCESS is blank space,0
it's a prove-yourself thing,0
Hey baby you are hot!!!!!!,1
You're very tall lol,1
"i'm not moving anywhere when i graduate, i'm going to enslave myself in another 4 years of uni",0
K,1
how do you feel about the decline of print media,0
where can i get some opium,1
"I’m glad you wanna eat my ass too, it’s been awhile.",1
which bands did u like?,0
"Yup I guess... So there goes the top, off of me.. ;)",1
DAMN that’s a good way to keep busy!,0
"that's an excellent story, poor Jake. and bloody possums",0
Miss seeing you look back while pounding you balls deep bent over the bed,1
See you soon,0
Oh.,1
haha,0
Hahaha this is over the course of like a year,0
 im blown away by your incredible skills its so attractive ,1
No winter relationship but we can be 10/10 buddies,1
Have I ever had... tiddy milk?,1
"nice, i like to overthink things too",1
I started as insomniac and ended as insomniac,0
I grabbed a couple like regular books but didnt see anything valuable,0
thanks i'll speak to henry later,0
No snap,0
Like let’s practice making a baby,1
terrified of skateboarders in the park too,0
"Please I will, I just need you to fuck me",1
Did u find ur ex,0
I was gonna say that’s quite the fire hazard,0
None I’m a clean slate. One day tho,0
Like how you're gonna tear my pussy just with your tongue..,1
I want to find something that excites me as much as you do.,1
How would u best describe your personality,0
i don't really like swift but i listened to it a bit during swotvac,0
That sounds sexy,1
some friends of mine went up there for choir and went ballistic with the candy,0
Yeah I may have to have you ride my face too.,1
yeah was pretty funny,0
But nice pic. Color run? I almost went (I figured I’d try to be normal too LOL),1
I want you on your hands and knees while you suck me looking up at me,1
disembowlment,0
"raw deal, in french class",0
you're being pretty bloody obvious,0
so hot,1
i still like newspapers as weird as that sounds,1
👍 good choices,0
I'd rather get my heart rate up with you.,1
And have the hot water drip down my back as you grip every part of me tighter and closer,1
"I stay away from gluten, all animal products except ground beef",0
I was talking to my roommates lmao my b,0
Oh do u live in L.V?,1
Bet we’ll have to practice a few times first tho,1
"The stilts are an incredible party trick, really ups my game",1
i want to go to med school 💉💊,0
My cock is going to explode if I don't get inside you.!!Please baby girl.. I want you!!,1
lol probably it's overdiagnosed,0
Food ✅ call her pretty ✅ seems reasonable,1
"It’s been okay, I work from home most of the day and then hangout with my roommates. Kind of stuck in a routine but happy I get to see some of my friends haha. U?",0
"Grape, watermelon, peach, fruit punch, and green apple are all 14 as well",0
Perfect I’ll add you I don’t check too often either haha,0
What sort of art do you do?,0
"binging on tv series, messing around on my uke and such",1
I can feel your kisses,1
"nice, you must exercise a lot then?",1
What? Lol,1
"hi, i'm alright, how are you?",1
does it come from cat pee?,0
You can be the port to my land 😝😢,1
red bull?,0
Ok gorgeous. What part of cali are you in?,1
Just remember you don't get to cum until I say you can,1
i think i know someone who went to cae,1
Hey punkin. Think I saw you on cartoon network?,1
Well I'm close so I speed up... Faster and faster...,1
well do it with pills or something,0
I want to squeeze your dick inside my kitty..,1
No lol that was yesterday at some Girls house,1
My most recently used is some dry emojis way too many faces lol. I try to limit em,0
what are you doing down here in melbourne?,0
cool doge,1
She sounds like she makes beer,1
i thought bands were supposed to be not about one person? *cough*,0
next time you go to the supermarket,0
Tell me where your hands are.,1
No promises it’s my legacy,0
Oh I thought we’re having a competition to see who wouldn’t send the first message,1
haha as long as the dj is not an idiot it should be okay,0
"Oh yes, I won't stop",1
My rhymes: the sickest      My ass: the thiccest,0
I haven’t done hard alc since being in quarantine tho :(,0
a scaredy cat?,0
I’ll pay for the lokos and you got the skee ball,0
your unwavering support means everything to me its so heartwarming ,1
and we were in year 9,0
Okay maybe we cant date but you CAN educate me,0
um i'm going to a bar to watch my best friend get really really drunk,0
favourite band?,0
Y u so cute,1
why do you have a photo of geoff shaw?,0
Highkey that last meme is SO me could u tell me where to get it,0
The most cultured,0
U absolutely right Lindsey,1
Your Pussy is so great..,1
I wish I was there to finger your clit and drip warmed lube on your dildo.,1
Youd have to ask him,0
Hmm I suppose I can trust a lawyer,0
Good girl,1
apparently everyone in the tinderverse likes sport...,1
how was falls? i went to a george ezra sideshow the other day which was wicked 🎸,0
what's exercise sport science?,0
You tryna link,1
but miley's actually cool now,0
it's wordplay,0
Trueeee it’s the same at UW ppl ask me if I know somebody but there’s like 40k students there’s no chance 😂😂,0
you need like a spray can type thing,0
Well we’ll get the top shelf alcohol then 😂,1
