input,label,reply
i’m chillin just stuck at home like everyone else lol. v boring,0,"Same here, just taking it easy. Hope you're doing well!"
i walked by today and remembered the last time we were there,1,"""Sounds like we need to make some new memories together soon 😉"""
😜,1,"You're such a tease, but I like it! 😉"
so how have u been?,1,"""Better now that I'm talking to you 😉"""
omg you better be jerking off.,1,"""Only if you're joining in on the fun 😉"""
would love to have a shoulder rub from you right about now,1,"""Come over and I'll work out those knots for you 😉"""
ive been dying to see star trek beyond if you need a date idea,1,"""Beam me up, Scotty! Let's boldly go on a date."""
"yeah, i go to unimelb 📚",0,"That's awesome, what are you studying at unimelb?"
"haha it doesn't to me. i'd say i'm not looking for a relationship, but am looking for some level of connection beyond hooking up and nothing else. have you met many dudes off tinder or no?",0,"Not many, just trying to see what's out there."
how about a pickup lime,1,"""Sure, sounds refreshing! What's your go-to lime pickup line?"""
if you drop yours one day i’ll make sure to let you know,0,"Thanks for looking out, I appreciate it!"
oh i thought we’re having a competition to see who wouldn’t send the first message,1,"Well, looks like I win then. What's my prize? 😉"
your such a turn on;),1,You're not too bad yourself ;)
people told me to watch the office and then all of the sudden two weeks have gone by and i've done nothing else,0,Hope you enjoyed the binge! It's hard to stop once you start.
"he's into goats, as legend would have it",0,"That's an interesting hobby, everyone has their own unique interests."
wow i'm hard now.,1,"""Must be my irresistible charm 😉"""
french is overrated,0,"French is just one of many languages, don't stress about it."
i like wombats,0,"Wombats are cool, I like them too!"
"i don't do law, obviously, but damn it i just got it",0,"No worries, you'll figure it out! Just ask if needed."
food ✅ call her pretty ✅ seems reasonable,1,"""Thanks, you have good taste 😉"""
"hello, sweetie… what’s up?",1,"""Just thinking of you... making my day brighter 😘"""
what kind of dog?,0,Any specific breed in mind or just curious about dogs in general?
"um, i play the uke and i have a little semi acoustic that i mess around one",0,"Cool! That's awesome, it's always fun to play around with music."
just wanted to let you know you were in my dreams last night,1,"""Must've been a good dream then, care to share details?"""
my mom used to live in canada,0,"That's cool, Canada is a great place to live."
we close,0,Thank you for letting us know. Have a good day!
why's the vacuum cleaner called henry,0,Because it's a classic and reliable brand for cleaning purposes.
burgers and beer or pasta and wine,1,How about we mix it up and have both together? 😉🍔🍺🍝🍷
that would be awkward,0,"No worries, no awkwardness here. Just friends chatting."
👯👯,1,"""Double trouble with you, let's dance the night away 👯"""
forgive me for being super cheesy but when i wake up youre the first person i think about each day,1,"""Aw, you're my morning sunshine too! 🌞"""
you tell me!,1,"""You'll have to work harder for that answer, cutie pie!"""
hahaha more like bumming around the house,0,"Just enjoying some downtime, nothing wrong with that!"
lemme fuck ur life up,1,"""Only if you promise to put it back together afterwards 😉"""
"i am experienced in fish rearing, so would like to apply to coparent your fish. what is their name?",1,"""Let's make a splash together! Their name is Finley. 🐠"""
what r u on this godforsaken app for? :),1,"To chat with cute and interesting people like you, obviously ;)"
licking every inch of your full left tit before taking that perky nipple into my mouth!.,1,"""Sounds delicious, can't wait to feel your lips on mine!"""
chat 28,1,"""Are you a magician? Because whenever I look at you, everyone else disappears."""
i am far too uncoordinated for that,0,"No worries, we all have our strengths and weaknesses."
my love language is physical touch want a present,1,"""Physical touch is the best present, come get it, baby."""
oh that’s so cool! miss corona needs to leave smh,0,I know right! Hopefully she leaves soon. Stay safe!
autocorrect,0,"No worries, happens to all of us! Autocorrect can be tricky."
"it's a fine name, but it could be something else, like a distant relative's name",0,"Thank you, I'll consider that suggestion for the name change."
where do you want me tonight over or under,1,"Surprise me, I'm up for a little adventure with you."
come home early we will spend time exploring each other slowly,1,"""Can't wait to discover new things with you, see you soon!"""
lol i am not a vet student,0,"That's okay, we all have different paths. Good luck to you!"
you were amazing yesterday i cant wait for a repeat performance today,1,"Thanks, get ready for an even better show today! 😉"
it does not but now i am concerned why you think it does. are there signs?!?!??!,0,"There are no signs, just a misunderstanding. Let's not worry."
now you're talking,1,"""Keep the conversation going, I like what I'm hearing."""
youre going to think im lying but youre pretty much my dream guy,1,"""You must have good taste then, because you're my dream girl."""
what happened?!? haha,0,"Just some unexpected fun! Haha, how about you?"
i had some meatmother and mr claws and a tin of ice cream too 😸🍦,1,"""Sounds like a tasty date with food 😋 Let's share next time!"""
last time i had to import a copy from deutschland and from a dodgy ebay seller,0,"No problem, glad you found what you needed!"
oh fuck i’m sorry that’s awful how did that happen?,0,"It's okay, just a crazy accident, thanks for asking."
then you share something in common 🤪,1,"""You must be my long-lost twin then! 😉"""
i do occasionally hit up market lane if it's cold tho ☕️☕️☕️,0,"That sounds cozy, enjoy your warm drinks at market lane!"
